Project,Phase,Focus,Key_Tasks,Deliverables
AI-Driven Sustainable Food Design,hours-0-6,Project Setup & Core Architecture,4,"Working Bedrock connection, Basic API structure, Simple UI mockup"
AI-Driven Sustainable Food Design,hours-6-18,Core AI Implementation,5,"Recipe generation API, Nutritional analysis module, Sustainability scoring"
AI-Driven Sustainable Food Design,hours-18-36,Advanced Features & Integration,5,"Multi-objective optimizer, Constraint engine, Product visualizer"
AI-Driven Sustainable Food Design,hours-36-48,Demo Preparation & Polish,5,"Live demo application, Presentation materials, Export functionality"
Smart Parking Management System,hours-0-6,Computer Vision Setup,4,"Working CV pipeline, Occupancy detection model, IoT setup"
Smart Parking Management System,hours-6-18,Core System Development,5,"Detection API, Prediction engine, Mobile API, Payment flow"
Smart Parking Management System,hours-18-36,Advanced Features,5,"Dynamic pricing, Navigation API, Analytics dashboard"
Smart Parking Management System,hours-36-48,Demo & Integration,5,"Mobile app demo, Live simulation, Impact metrics"
Carbon-Optimal Route Intelligence,hours-0-6,Data Integration Setup,4,"Data ingestion pipeline, Time-series storage, API integrations"
Carbon-Optimal Route Intelligence,hours-6-18,AI Engine Development,5,"Carbon calculator, Route optimizer, Environmental predictor"
Carbon-Optimal Route Intelligence,hours-18-36,Advanced Optimization,5,"Dynamic routing, Gamification engine, Offset marketplace"
Carbon-Optimal Route Intelligence,hours-36-48,Demo & Visualization,5,"Interactive demo, Impact dashboard, Social features"
